HR,N,Stability
33,67.69,0
7.4,1.32,0
9.1,1.58,0
10.8,3.17,0
13.2,5.2,0
10.6,3.47,0
10.7,9.24,0
10.7,9.24,0
10.7,9.24,0
11.3,9.24,0
12.9,9.24,0
10.6,9.93,0
11,11.09,0
8,11.55,0
10,11.55,0
10.7,11.62,0
10.7,11.62,0
11.7,12.47,0
11.9,11.55,0
11,13.2,0
5.2,13.28,0
11.1,14.78,0
11.8,11.55,0
10.7,15.84,0
9.6,17.56,0
7.9,18.6,0
16.7,19.01,0
8.1,19.8,0
11.3,22.18,0
9.6,21.25,0
6.9,23.76,0
11.4,25.87,0
9.6,25.87,0
9.6,25.87,0
11.7,28.07,0
12.3,29.11,0
8.9,29.11,0
8.9,29.11,0
21.3,28.51,0
8.5,30.36,0
6.9,31.68,0
10.8,33,0
8.9,33.26,0
8.9,33.26,0
10.9,34.32,0
9.8,35.64,0
9.8,35.64,0
9.8,35.64,0
10.5,36.3,0
7.1,36.96,0
10.8,36.96,0
12.1,37.13,0
9,38.28,0
7.1,118.8,0
10.8,40.66,0
13.9,40.66,0
10.8,41.58,0
9.6,43.43,0
19.3,40.39,0
13.9,46.46,0
8,47.12,0
8,47.12,0
8.1,47.12,0
11.8,47.52,0
19.3,47.52,0
7.8,48.51,0
10.6,48.84,0
11,48.97,0
10.8,49.63,0
13.9,53.59,0
13.9,53.59,0
13.9,53.59,0
10.9,53.86,0
11.9,54.12,0
10.5,55.97,0
10.8,58.08,0
11.1,58.21,0
27.4,64.68,0
11.8,59.4,0
13.9,61.25,0
13.9,61.25,0
13.9,61.25,0
24.8,62.96,0
10.5,63.36,0
11.9,63.76,0
10.8,69.7,0
8,67.32,0
10.9,67.32,0
31.5,68.9,0
12,72.6,0
9.6,74.84,0
10.9,83.16,0
15.6,87.12,0
15.6,87.12,0
30.2,90.82,0
8.6,91.08,0
5.9,92.4,0
9.6,92.4,0
11,92.4,0
11.6,92.4,0
11.8,92.4,0
12.8,92.4,0
12.8,92.4,0
17.3,92.4,0
17.3,92.4,0
17.3,92.4,0
8.3,96.36,0
16.4,101.64,0
11.7,105.6,0
23.7,105.6,0
24,105.6,0
24.6,105.6,0
25.2,105.6,0
12.1,106.92,0
12.8,106.92,0
17.9,120.12,0
17.9,120.12,0
17.9,120.12,0
11.6,113.52,0
11.7,118.8,0
23.7,118.8,0
24,118.8,0
